"IQ","CP_avgOriginality","CA"
99.3804181540031,1.68431873066667,16
93.2610912799592,1.8965451215,30
100.170831208567,1.63497151,5
101.904640489546,1.8172348485,76
94.1024987251402,1.91058247283333,67
100.196328403876,1.81123923983333,12
119.905660377358,1.917145722,45
99.329423763386,1.92535650633333,25
87.4477307496175,1.7678484405,101
78.8041815400306,1.96659416966667,30
115.545639979602,1.85416666666667,9
108.02396736359,1.90184097616667,56
102.083120856706,1.77222222216667,21
91.8077511473738,1.95,5
109.018357980622,1.8351483585,51
102.287098419174,1.85671268633333,4
87.7791942886282,1.69123931616667,37
92.164711881693,1.97447188233333,93
101.853646098929,1.76130952383333,2
92.1902090770015,1.6265873015,5
68.0953595104539,1.55902777783333,2
93.1591024987251,1.61105324066667,34
113.939316675166,1.84364478116667,2
106.13717491076,1.82046385333333,51
96.065782763896,1.84052840866667,69
101.955634880163,1.747614301,42
128.064762876084,1.92176573416667,191
122.27689954105,1.85798372383333,5
106.264660887302,1.63131313133333,3
96.5502294747578,1.75227538666667,3
118.018867924528,2.0543320105,22
114.500254971953,1.84548611133333,48
90.7368689444161,1.88628917383333,5
79.1101478837328,1.67010440533333,1
125.89750127486,2.05261876283333,37
118.68179500255,1.85797610333333,62
135.484446710862,1.97712200083333,27
104.352371239164,1.7011963,64
90.8133605303417,1.77779581533333,45
104.199388067313,1.81318533866667,88
114.0413054564,1.75998712633333,22
143.924018357981,1.94278311966667,32
120.186129525752,1.767175496,73
141.374298827129,1.63742690066667,16
124.444161142274,1.720681606,13
137.345741968383,1.77525608516667,68
120.211626721061,1.92789363383333,54
143.567057623661,1.92789797016667,49
132.24630290668,1.76786209433333,36
97.0601733809281,1.67444534633333,11
124.393166751657,1.69524110133333,46
90.634880163182,1.78629178683333,14
107.84548699643,1.63996212116667,62
113.17440081591,1.7516405125,41
125.948495665477,1.78751803733333,207
107.437531871494,2.007046024,106
119.676185619582,2.00853174616667,24
107.33554309026,1.7886274605,40
100.451300356961,1.87988375616667,32
119.548699643039,1.9933675525,15
110.267720550739,1.94764059483333,69
103.867924528302,1.79712301583333,57
115.316165221826,1.96068121683333,110
82.3992860785314,1.6493055555,44
89.5639979602244,1.92691067616667,83
138.289138194799,1.832450998,67
