id;Factor;Power;Time;ROI;Frequency;Eyes
11;ALPHA_aucp_POST_EC_parietotemporalPURE;0.202075;Post;Parietotemporal;Alpha;EC
12;ALPHA_aucp_POST_EC_parietotemporalPURE;0.4456;Post;Parietotemporal;Alpha;EC
13;ALPHA_aucp_POST_EC_parietotemporalPURE;0.32045;Post;Parietotemporal;Alpha;EC
14;ALPHA_aucp_POST_EC_parietotemporalPURE;0.277075;Post;Parietotemporal;Alpha;EC
1;THETA_aucp_PRE_EC_parietotemporalPURE;0.11035;Pre;Parietotemporal;Theta;EC
2;THETA_aucp_PRE_EC_parietotemporalPURE;0.12115;Pre;Parietotemporal;Theta;EC
3;THETA_aucp_PRE_EC_parietotemporalPURE;0.1284;Pre;Parietotemporal;Theta;EC
4;THETA_aucp_PRE_EC_parietotemporalPURE;0.131675;Pre;Parietotemporal;Theta;EC
5;THETA_aucp_PRE_EC_parietotemporalPURE;0.2458;Pre;Parietotemporal;Theta;EC
6;THETA_aucp_PRE_EC_parietotemporalPURE;0.336475;Pre;Parietotemporal;Theta;EC
7;THETA_aucp_PRE_EC_parietotemporalPURE;0.16995;Pre;Parietotemporal;Theta;EC
8;THETA_aucp_PRE_EC_parietotemporalPURE;0.161575;Pre;Parietotemporal;Theta;EC
9;THETA_aucp_PRE_EC_parietotemporalPURE;0.1494;Pre;Parietotemporal;Theta;EC
10;THETA_aucp_PRE_EC_parietotemporalPURE;0.1556;Pre;Parietotemporal;Theta;EC
11;THETA_aucp_PRE_EC_parietotemporalPURE;0.139625;Pre;Parietotemporal;Theta;EC
12;THETA_aucp_PRE_EC_parietotemporalPURE;0.18495;Pre;Parietotemporal;Theta;EC
13;THETA_aucp_PRE_EC_parietotemporalPURE;0.181775;Pre;Parietotemporal;Theta;EC
14;THETA_aucp_PRE_EC_parietotemporalPURE;0.1635;Pre;Parietotemporal;Theta;EC
1;THETA_aucp_POST_EC_parietotemporalPURE;0.127225;Post;Parietotemporal;Theta;EC
2;THETA_aucp_POST_EC_parietotemporalPURE;0.066425;Post;Parietotemporal;Theta;EC
3;THETA_aucp_POST_EC_parietotemporalPURE;0.14385;Post;Parietotemporal;Theta;EC
4;THETA_aucp_POST_EC_parietotemporalPURE;0.129375;Post;Parietotemporal;Theta;EC
5;THETA_aucp_POST_EC_parietotemporalPURE;0.207275;Post;Parietotemporal;Theta;EC
6;THETA_aucp_POST_EC_parietotemporalPURE;0.318575;Post;Parietotemporal;Theta;EC
7;THETA_aucp_POST_EC_parietotemporalPURE;0.177525;Post;Parietotemporal;Theta;EC
8;THETA_aucp_POST_EC_parietotemporalPURE;0.150025;Post;Parietotemporal;Theta;EC
9;THETA_aucp_POST_EC_parietotemporalPURE;0.1315;Post;Parietotemporal;Theta;EC
10;THETA_aucp_POST_EC_parietotemporalPURE;0.146925;Post;Parietotemporal;Theta;EC
11;THETA_aucp_POST_EC_parietotemporalPURE;0.13535;Post;Parietotemporal;Theta;EC
12;THETA_aucp_POST_EC_parietotemporalPURE;0.116625;Post;Parietotemporal;Theta;EC
13;THETA_aucp_POST_EC_parietotemporalPURE;0.1658;Post;Parietotemporal;Theta;EC
14;THETA_aucp_POST_EC_parietotemporalPURE;0.131475;Post;Parietotemporal;Theta;EC
1;DELTA_aucp_PRE_EC_parietotemporalPURE;0.114375;Pre;Parietotemporal;Delta;EC
2;DELTA_aucp_PRE_EC_parietotemporalPURE;0.08875;Pre;Parietotemporal;Delta;EC
3;DELTA_aucp_PRE_EC_parietotemporalPURE;0.1353;Pre;Parietotemporal;Delta;EC
4;DELTA_aucp_PRE_EC_parietotemporalPURE;0.112925;Pre;Parietotemporal;Delta;EC
5;DELTA_aucp_PRE_EC_parietotemporalPURE;0.164875;Pre;Parietotemporal;Delta;EC
6;DELTA_aucp_PRE_EC_parietotemporalPURE;0.2124;Pre;Parietotemporal;Delta;EC
7;DELTA_aucp_PRE_EC_parietotemporalPURE;0.2007;Pre;Parietotemporal;Delta;EC
8;DELTA_aucp_PRE_EC_parietotemporalPURE;0.214825;Pre;Parietotemporal;Delta;EC
9;DELTA_aucp_PRE_EC_parietotemporalPURE;0.174325;Pre;Parietotemporal;Delta;EC
10;DELTA_aucp_PRE_EC_parietotemporalPURE;0.19005;Pre;Parietotemporal;Delta;EC
11;DELTA_aucp_PRE_EC_parietotemporalPURE;0.1875;Pre;Parietotemporal;Delta;EC
12;DELTA_aucp_PRE_EC_parietotemporalPURE;0.1342;Pre;Parietotemporal;Delta;EC
13;DELTA_aucp_PRE_EC_parietotemporalPURE;0.144825;Pre;Parietotemporal;Delta;EC
14;DELTA_aucp_PRE_EC_parietotemporalPURE;0.193975;Pre;Parietotemporal;Delta;EC
1;DELTA_aucp_POST_EC_parietotemporalPURE;0.106825;Post;Parietotemporal;Delta;EC
2;DELTA_aucp_POST_EC_parietotemporalPURE;0.085375;Post;Parietotemporal;Delta;EC
3;DELTA_aucp_POST_EC_parietotemporalPURE;0.1621;Post;Parietotemporal;Delta;EC
4;DELTA_aucp_POST_EC_parietotemporalPURE;0.111025;Post;Parietotemporal;Delta;EC
5;DELTA_aucp_POST_EC_parietotemporalPURE;0.167225;Post;Parietotemporal;Delta;EC
6;DELTA_aucp_POST_EC_parietotemporalPURE;0.187;Post;Parietotemporal;Delta;EC
7;DELTA_aucp_POST_EC_parietotemporalPURE;0.21375;Post;Parietotemporal;Delta;EC
8;DELTA_aucp_POST_EC_parietotemporalPURE;0.1736;Post;Parietotemporal;Delta;EC
9;DELTA_aucp_POST_EC_parietotemporalPURE;0.170625;Post;Parietotemporal;Delta;EC
10;DELTA_aucp_POST_EC_parietotemporalPURE;0.15485;Post;Parietotemporal;Delta;EC
11;DELTA_aucp_POST_EC_parietotemporalPURE;0.142;Post;Parietotemporal;Delta;EC
12;DELTA_aucp_POST_EC_parietotemporalPURE;0.120625;Post;Parietotemporal;Delta;EC
