,SUBJECTINDEX,age,answer,catch,category,dataset_nr,end,filenumber,fix,on_image,patchpos,start,trial,valid,mean_x,mean_y
607,1.0,2.0,1.0,0.0,8.0,0.0,4662.0,12.0,19.0,1.0,417.0,4406.0,37.0,1.0,1188.586,744.3723
608,1.0,2.0,1.0,0.0,8.0,0.0,5280.0,12.0,20.0,1.0,662.0,4690.0,37.0,1.0,1140.4263,816.0031
627,1.0,2.0,1.0,0.0,8.0,0.0,574.0,46.0,1.0,1.0,131.0,350.0,39.0,1.0,1042.5825,416.0901
628,1.0,2.0,1.0,0.0,8.0,0.0,792.0,46.0,2.0,1.0,456.0,648.0,39.0,1.0,791.3322,799.86646
629,1.0,2.0,1.0,0.0,8.0,0.0,1100.0,46.0,3.0,1.0,131.0,872.0,39.0,1.0,439.82852,764.43097
630,1.0,2.0,1.0,0.0,8.0,0.0,1182.0,46.0,4.0,1.0,456.0,1132.0,39.0,1.0,335.44763,797.85657
631,1.0,2.0,1.0,0.0,8.0,0.0,1558.0,46.0,5.0,1.0,131.0,1264.0,39.0,1.0,1236.1187,491.3304
632,1.0,2.0,1.0,0.0,8.0,0.0,1928.0,46.0,6.0,1.0,456.0,1586.0,39.0,1.0,1188.0594,553.6529
633,1.0,2.0,1.0,0.0,8.0,0.0,2034.0,46.0,7.0,1.0,131.0,1944.0,39.0,1.0,1190.2637,587.87787
634,1.0,2.0,1.0,0.0,8.0,0.0,2566.0,46.0,8.0,1.0,456.0,2206.0,39.0,1.0,264.66418,816.4564
635,1.0,2.0,1.0,0.0,8.0,0.0,2770.0,46.0,9.0,1.0,131.0,2588.0,39.0,1.0,330.31674,818.8954
636,1.0,2.0,1.0,0.0,8.0,0.0,2988.0,46.0,10.0,1.0,456.0,2808.0,39.0,1.0,504.41898,772.38275
637,1.0,2.0,1.0,0.0,8.0,0.0,3646.0,46.0,11.0,1.0,131.0,3020.0,39.0,1.0,601.79755,759.9334
638,1.0,2.0,1.0,0.0,8.0,0.0,3918.0,46.0,12.0,1.0,456.0,3732.0,39.0,1.0,1008.5355,774.3686
639,1.0,2.0,1.0,0.0,8.0,0.0,4242.0,46.0,13.0,1.0,131.0,3940.0,39.0,1.0,1074.2014,734.65576
640,1.0,2.0,1.0,0.0,8.0,0.0,4444.0,46.0,14.0,1.0,456.0,4272.0,39.0,1.0,997.9738,824.8605
641,1.0,2.0,1.0,0.0,8.0,0.0,4588.0,46.0,15.0,1.0,131.0,4522.0,39.0,1.0,731.8014,256.4125
642,1.0,2.0,1.0,0.0,8.0,0.0,4846.0,46.0,16.0,1.0,456.0,4626.0,39.0,1.0,561.32355,58.513084
643,1.0,2.0,1.0,0.0,8.0,0.0,5044.0,46.0,17.0,1.0,131.0,4862.0,39.0,1.0,559.5552,24.867329
667,1.0,2.0,0.0,1.0,8.0,0.0,528.0,37.0,1.0,1.0,677.0,368.0,42.0,1.0,888.93854,350.14883
668,1.0,2.0,0.0,1.0,8.0,0.0,658.0,37.0,2.0,1.0,766.0,602.0,42.0,1.0,833.25476,690.5981
669,1.0,2.0,0.0,1.0,8.0,0.0,810.0,37.0,3.0,1.0,677.0,716.0,42.0,1.0,1111.268,712.69495
670,1.0,2.0,0.0,1.0,8.0,0.0,1078.0,37.0,4.0,1.0,766.0,844.0,42.0,1.0,1191.1638,571.01294
671,1.0,2.0,0.0,1.0,8.0,0.0,1270.0,37.0,5.0,1.0,677.0,1112.0,42.0,1.0,1215.9094,716.36
672,1.0,2.0,0.0,1.0,8.0,0.0,1492.0,37.0,6.0,1.0,766.0,1342.0,42.0,1.0,459.6228,820.3908
673,1.0,2.0,0.0,1.0,8.0,0.0,2026.0,37.0,7.0,1.0,677.0,1534.0,42.0,1.0,235.44685,837.9468
674,1.0,2.0,0.0,1.0,8.0,0.0,2134.0,37.0,8.0,1.0,766.0,2090.0,42.0,1.0,675.75305,879.9212
675,1.0,2.0,0.0,1.0,8.0,0.0,2316.0,37.0,9.0,1.0,677.0,2198.0,42.0,1.0,904.59686,819.4249
676,1.0,2.0,0.0,1.0,8.0,0.0,2532.0,37.0,10.0,1.0,766.0,2368.0,42.0,1.0,556.64905,717.1045
677,1.0,2.0,0.0,1.0,8.0,0.0,2702.0,37.0,11.0,1.0,677.0,2564.0,42.0,1.0,503.8196,633.87683
678,1.0,2.0,0.0,1.0,8.0,0.0,2868.0,37.0,12.0,1.0,766.0,2736.0,42.0,1.0,594.37476,551.2504
679,1.0,2.0,0.0,1.0,8.0,0.0,2996.0,37.0,13.0,1.0,677.0,2908.0,42.0,1.0,580.66144,302.29208
680,1.0,2.0,0.0,1.0,8.0,0.0,3300.0,37.0,14.0,1.0,766.0,3034.0,42.0,1.0,500.2461,115.356064
681,1.0,2.0,0.0,1.0,8.0,0.0,3690.0,37.0,15.0,1.0,677.0,3342.0,42.0,1.0,688.4968,88.985374
682,1.0,2.0,0.0,1.0,8.0,0.0,4026.0,37.0,16.0,1.0,766.0,3718.0,42.0,1.0,752.6582,50.099865
683,1.0,2.0,0.0,1.0,8.0,0.0,4202.0,37.0,17.0,1.0,677.0,4066.0,42.0,1.0,575.403,116.04143
684,1.0,2.0,0.0,1.0,8.0,0.0,4476.0,37.0,18.0,1.0,766.0,4280.0,42.0,1.0,279.96506,213.78334
